service,column,percentage,value,total
AWS,fossil-fuel-disclosure-onsite,0,0,22
AWS,renewable-energy-consumption-onsite,0,0,22
AWS,provider-cfe-hourly,0,0,22
AWS,renewable-energy-consumption-goo,0,0,22
Google Cloud,fossil-fuel-disclosure-onsite,0,0,41
Google Cloud,renewable-energy-consumption-onsite,0,0,41
Google Cloud,provider-cfe-hourly,90.24,37,41
Google Cloud,renewable-energy-consumption-goo,0,0,41
Azure,fossil-fuel-disclosure-onsite,0,0,0
Azure,renewable-energy-consumption-onsite,0,0,0
Azure,provider-cfe-hourly,0,0,0
Azure,renewable-energy-consumption-goo,0,0,0
